Item_Name,Hero_Name,Item_Type
Acolyte of Vengeance Weapon,Anti-Mage,Equipment
Ancient Crasher,Anti-Mage,Equipment
Arc of Manta,Anti-Mage,Equipment
Basher of Mage Skulls,Anti-Mage,Equipment
Blade of Broken Scale,Anti-Mage,Equipment
Blade of the Fervent Conscript,Anti-Mage,Equipment
Blade of the Mage Abolisher,Anti-Mage,Equipment
Blade of the Survivor,Anti-Mage,Equipment
Blade of the Witch Hunter,Anti-Mage,Equipment
Blade of Tustakuri,Anti-Mage,Equipment
Etched Crescent of Yoskreth,Anti-Mage,Equipment
Glaive of the Mage Slayer,Anti-Mage,Equipment
Golden Basher of Mage Skulls,Anti-Mage,Equipment
Hatchet of the Shifting Sorcerer,Anti-Mage,Equipment
Nomad's Barbed Edge,Anti-Mage,Equipment
Oathbound Defiant Blades,Anti-Mage,Equipment
Reprieve of the Clergy Ascetic,Anti-Mage,Equipment
Shard of Vengeance,Anti-Mage,Equipment
Acolyte of Vengeance Offhand,Anti-Mage,Equipment
Ancient Crescent,Anti-Mage,Equipment
Arc of Manta - Off-Hand,Anti-Mage,Equipment
Blade of Tustakuri - Off-Hand,Anti-Mage,Equipment
Etched Crescent of Yoskreth - Off-Hand,Anti-Mage,Equipment
Glaive of the Mage Slayer - Off-Hand,Anti-Mage,Equipment
Golden Offhand Basher of Mage Skulls,Anti-Mage,Equipment
Hatchet of the Shifting Sorcerer - Offhand,Anti-Mage,Equipment
Nomad's Edge - Off-Hand,Anti-Mage,Equipment
Oathbound Defiant Off-Hand Blade,Anti-Mage,Equipment
Off-Hand Blade of the Fervent Conscript,Anti-Mage,Equipment
Offhand Basher of Mage Skulls,Anti-Mage,Equipment
Offhand Blade of Broken Scale,Anti-Mage,Equipment
Offhand Blade of the Mage Abolisher,Anti-Mage,Equipment
Offhand Blade of the Survivor,Anti-Mage,Equipment
Offhand Blade of the Witch Hunter,Anti-Mage,Equipment
Reprieve of the Clergy Ascetic - Off-Hand,Anti-Mage,Equipment
Shard of Retribution,Anti-Mage,Equipment
Acolyte of Vengeance Mask,Anti-Mage,Equipment
Fashion of Yoskreth,Anti-Mage,Equipment
Gift of the Awakened,Anti-Mage,Equipment
Hair of the Survivor,Anti-Mage,Equipment
Hair of the Witch Hunter,Anti-Mage,Equipment
Helm of Broken Scale,Anti-Mage,Equipment
Helmet of the Mage Abolisher,Anti-Mage,Equipment
Hood of the Clergy Ascetic,Anti-Mage,Equipment
Initiate's Cut,Anti-Mage,Equipment
Mask of the Mage Slayer,Anti-Mage,Equipment
Mask of Tustakuri,Anti-Mage,Equipment
Oathbound Defiant Helm,Anti-Mage,Equipment
Style of the Fervent Conscript,Anti-Mage,Equipment
Wrap of the Shifting Sorcerer,Anti-Mage,Equipment
Acolyte of Vengeance Shoulder Guards,Anti-Mage,Equipment
Collar of the Mage Slayer,Anti-Mage,Equipment
Guard of the Clergy Ascetic,Anti-Mage,Equipment
Oathbound Defiant Pauldrons,Anti-Mage,Equipment
